geo_name,geo_sumlevel,geo_id,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
"Putnam County, IL","county",05000US17155,0.301,0.314,0.299
"Randolph County, IL","county",05000US17157,0.318,0.303,0.277
"Richland County, IL","county",05000US17159,0.296,0.307,0.288
"Rock Island County, IL","county",05000US17161,0.274,0.308,0.317
"St. Clair County, IL","county",05000US17163,0.314,0.322,0.332
"Saline County, IL","county",05000US17165,0.316,0.321,0.301
"Sangamon County, IL","county",05000US17167,0.296,0.299,0.285
"Schuyler County, IL","county",05000US17169,0.3,0.307,0.317
"Scott County, IL","county",05000US17171,0.299,0.314,0.304
"Shelby County, IL","county",05000US17173,0.318,0.324,0.306
"Stark County, IL","county",05000US17175,0.318,0.32,0.302
"Stephenson County, IL","county",05000US17177,0.266,0.288,0.329
"Tazewell County, IL","county",05000US17179,0.28,0.29,0.306
"Union County, IL","county",05000US17181,0.331,0.313,0.282
"Vermilion County, IL","county",05000US17183,0.343,0.373,0.354
"Wabash County, IL","county",05000US17185,0.313,0.326,0.322
"Warren County, IL","county",05000US17187,0.316,0.338,0.305
"Washington County, IL","county",05000US17189,0.318,0.31,0.286
"Wayne County, IL","county",05000US17191,0.292,0.31,0.292
"White County, IL","county",05000US17193,0.317,0.314,0.287
"Whiteside County, IL","county",05000US17195,0.266,0.268,0.287
"Will County, IL","county",05000US17197,0.29,0.281,0.28
"Williamson County, IL","county",05000US17199,0.345,0.316,0.316
"Winnebago County, IL","county",05000US17201,0.294,0.315,0.339
"Woodford County, IL","county",05000US17203,0.3,0.319,0.308
"Adams County, IN","county",05000US18001,0.287,0.303,0.328
"Allen County, IN","county",05000US18003,0.326,0.285,0.301
"Bartholomew County, IN","county",05000US18005,0.339,0.323,0.295
"Benton County, IN","county",05000US18007,0.336,0.327,0.326
"Blackford County, IN","county",05000US18009,0.365,0.355,0.36
"Boone County, IN","county",05000US18011,0.272,0.277,0.278
"Brown County, IN","county",05000US18013,0.319,0.309,0.306
"Carroll County, IN","county",05000US18015,0.306,0.286,0.269
"Cass County, IN","county",05000US18017,0.347,0.343,0.337
"Clark County, IN","county",05000US18019,0.297,0.311,0.333
"Clay County, IN","county",05000US18021,0.363,0.325,0.331
"Clinton County, IN","county",05000US18023,0.294,0.3,0.309
"Crawford County, IN","county",05000US18025,0.374,0.345,0.33
"Daviess County, IN","county",05000US18027,0.321,0.333,0.376
"Dearborn County, IN","county",05000US18029,0.317,0.3,0.325
"Decatur County, IN","county",05000US18031,0.296,0.299,0.327
"DeKalb County, IN","county",05000US18033,0.27,0.311,0.328
"Delaware County, IN","county",05000US18035,0.334,0.317,0.315
"Dubois County, IN","county",05000US18037,0.299,0.276,0.295
"Elkhart County, IN","county",05000US18039,0.299,0.325,0.328
"Fayette County, IN","county",05000US18041,0.31,0.319,0.33
"Floyd County, IN","county",05000US18043,0.307,0.306,0.301
"Fountain County, IN","county",05000US18045,0.306,0.306,0.298
"Franklin County, IN","county",05000US18047,0.275,0.257,0.262
"Fulton County, IN","county",05000US18049,0.354,0.373,0.378
